NO_Class,NO_Trial,NO_ITER,LL,DIFF_LL,DIFF_CPT,YET_CUR_BEST_LL,Comments
5,1,1,-8055.557582,-8055.557582,6.819177,-inf,Still in CN Loop
5,1,11,-8047.514404,8.043178,0.000525,-inf,Still in CN Loop
5,1,21,-8047.514404,0.000000,0.000000,-inf,Still in CN Loop
5,1,31,-8047.514404,0.000000,0.000000,-inf,Still in CN Loop
5,1,41,-8047.514404,0.000000,0.000000,-inf,Still in CN Loop
5,1,47,-8047.514404,0.000000,0.000000,-inf,Still in CN Loop
5,1,48,-8047.514404,0.000000,0.000000,-inf,Still in CN Loop
5,1,49,-8047.514404,0.000000,0.000000,-inf,Still in CN Loop
5,1,50,-8047.514404,0.000000,0.000000,-inf,Still in CN Loop
5,1,50,-8047.514404,0.000000,-inf,Better LL and NO Conflict
5,2,1,-8130.290619,-8130.290619,6.413276,-8047.514404,Still in CN Loop
5,2,11,-8059.103693,71.186926,0.001136,-8047.514404,Still in CN Loop
5,2,21,-8059.103691,0.000002,0.000005,-8047.514404,Still in CN Loop
5,2,31,-8059.103691,0.000000,0.000000,-8047.514404,Still in CN Loop
5,2,41,-8059.103691,0.000000,0.000000,-8047.514404,Still in CN Loop
5,2,47,-8059.103691,0.000000,0.000000,-8047.514404,Still in CN Loop
5,2,48,-8059.103691,-0.000000,0.000000,-8047.514404,Still in CN Loop
5,2,49,-8059.103691,-0.000000,0.000000,-8047.514404,Still in CN Loop
5,2,50,-8059.103691,0.000000,0.000000,-8047.514404,Still in CN Loop
5,3,1,-8099.096260,-8099.096260,6.565120,-8047.514404,Still in CN Loop
5,3,11,-8040.678498,58.417762,0.000000,-8047.514404,Still in CN Loop
5,3,21,-8040.678498,0.000000,0.000000,-8047.514404,Still in CN Loop
5,3,31,-8040.678498,0.000000,0.000000,-8047.514404,Still in CN Loop
5,3,41,-8040.678498,0.000000,0.000000,-8047.514404,Still in CN Loop
5,3,47,-8040.678498,0.000000,0.000000,-8047.514404,Still in CN Loop
5,3,48,-8040.678498,0.000000,0.000000,-8047.514404,Still in CN Loop
5,3,49,-8040.678498,0.000000,0.000000,-8047.514404,Still in CN Loop
5,3,50,-8040.678498,0.000000,0.000000,-8047.514404,Still in CN Loop
5,3,50,-8040.678498,0.000000,-8047.514404,Better LL and NO Conflict
5,4,1,-8114.373379,-8114.373379,6.473726,-8040.678498,Still in CN Loop
5,4,11,-8059.103694,55.269685,0.001421,-8040.678498,Still in CN Loop
5,4,21,-8059.103691,0.000003,0.000006,-8040.678498,Still in CN Loop
5,4,31,-8059.103691,0.000000,0.000000,-8040.678498,Still in CN Loop
5,4,41,-8059.103691,-0.000000,0.000000,-8040.678498,Still in CN Loop
5,4,47,-8059.103691,0.000000,0.000000,-8040.678498,Still in CN Loop
5,4,48,-8059.103691,0.000000,0.000000,-8040.678498,Still in CN Loop
5,4,49,-8059.103691,-0.000000,0.000000,-8040.678498,Still in CN Loop
5,4,50,-8059.103691,0.000000,0.000000,-8040.678498,Still in CN Loop
5,5,1,-8079.258524,-8079.258524,6.612973,-8040.678498,Still in CN Loop
5,5,11,-8059.105426,20.153097,0.028303,-8040.678498,Still in CN Loop
5,5,21,-8059.103691,0.001736,0.000175,-8040.678498,Still in CN Loop
5,5,31,-8059.103691,0.000000,0.000001,-8040.678498,Still in CN Loop
5,5,41,-8059.103691,0.000000,0.000000,-8040.678498,Still in CN Loop
5,5,47,-8059.103691,0.000000,0.000000,-8040.678498,Still in CN Loop
5,5,48,-8059.103691,0.000000,0.000000,-8040.678498,Still in CN Loop
5,5,49,-8059.103691,-0.000000,0.000000,-8040.678498,Still in CN Loop
5,5,50,-8059.103691,0.000000,0.000000,-8040.678498,Still in CN Loop
5,6,1,-8055.605573,-8055.605573,6.819232,-8040.678498,Still in CN Loop
5,6,11,-8047.514404,8.091169,0.000608,-8040.678498,Still in CN Loop
5,6,21,-8047.514404,0.000000,0.000000,-8040.678498,Still in CN Loop
5,6,31,-8047.514404,0.000000,0.000000,-8040.678498,Still in CN Loop
5,6,41,-8047.514404,-0.000000,0.000000,-8040.678498,Still in CN Loop
5,6,47,-8047.514404,0.000000,0.000000,-8040.678498,Still in CN Loop
5,6,48,-8047.514404,0.000000,0.000000,-8040.678498,Still in CN Loop
5,6,49,-8047.514404,0.000000,0.000000,-8040.678498,Still in CN Loop
5,6,50,-8047.514404,0.000000,0.000000,-8040.678498,Still in CN Loop
5,7,1,-8091.026174,-8091.026174,6.498442,-8040.678498,Still in CN Loop
