NO_Class,NO_Trial,NO_ITER,LL,DIFF_LL,DIFF_CPT,YET_CUR_BEST_LL,Comments
4,1,1,-7760.033782,-7760.033782,6.806789,-inf,Still in CN Loop
4,1,11,-7742.713893,17.319890,0.000000,-inf,Still in CN Loop
4,1,21,-7742.713893,0.000000,0.000000,-inf,Still in CN Loop
4,1,31,-7742.713893,0.000000,0.000000,-inf,Still in CN Loop
4,1,41,-7742.713893,0.000000,0.000000,-inf,Still in CN Loop
4,1,47,-7742.713893,0.000000,0.000000,-inf,Still in CN Loop
4,1,48,-7742.713893,0.000000,0.000000,-inf,Still in CN Loop
4,1,49,-7742.713893,0.000000,0.000000,-inf,Still in CN Loop
4,1,50,-7742.713893,0.000000,0.000000,-inf,Still in CN Loop
4,1,50,-7742.713893,0.000000,-inf,Better LL and NO Conflict
4,2,1,-7759.729009,-7759.729009,6.769836,-7742.713893,Still in CN Loop
4,2,11,-7742.713893,17.015116,0.000000,-7742.713893,Still in CN Loop
4,2,21,-7742.713893,0.000000,0.000000,-7742.713893,Still in CN Loop
4,2,31,-7742.713893,0.000000,0.000000,-7742.713893,Still in CN Loop
4,2,41,-7742.713893,0.000000,0.000000,-7742.713893,Still in CN Loop
4,2,47,-7742.713893,0.000000,0.000000,-7742.713893,Still in CN Loop
4,2,48,-7742.713893,0.000000,0.000000,-7742.713893,Still in CN Loop
4,2,49,-7742.713893,0.000000,0.000000,-7742.713893,Still in CN Loop
4,2,50,-7742.713893,0.000000,0.000000,-7742.713893,Still in CN Loop
4,3,1,-7762.596466,-7762.596466,6.779148,-7742.713893,Still in CN Loop
4,3,11,-7743.627742,18.968724,0.000000,-7742.713893,Still in CN Loop
4,3,21,-7743.627742,-0.000000,0.000000,-7742.713893,Still in CN Loop
4,3,31,-7743.627742,0.000000,0.000000,-7742.713893,Still in CN Loop
4,3,41,-7743.627742,0.000000,0.000000,-7742.713893,Still in CN Loop
4,3,47,-7743.627742,0.000000,0.000000,-7742.713893,Still in CN Loop
4,3,48,-7743.627742,0.000000,0.000000,-7742.713893,Still in CN Loop
4,3,49,-7743.627742,0.000000,0.000000,-7742.713893,Still in CN Loop
4,3,50,-7743.627742,0.000000,0.000000,-7742.713893,Still in CN Loop
4,4,1,-7751.878999,-7751.878999,6.650064,-7742.713893,Still in CN Loop
