NO_Class,NO_Trial,NO_ITER,LL,DIFF_LL,DIFF_CPT,YET_CUR_BEST_LL,Comments
2,1,1,-7205.166638,-7205.166638,6.439321,-inf,Still in CN Loop
2,1,11,-7166.601303,38.565335,0.000000,-inf,Still in CN Loop
2,1,21,-7166.601303,0.000000,0.000000,-inf,Still in CN Loop
2,1,31,-7166.601303,0.000000,0.000000,-inf,Still in CN Loop
2,1,41,-7166.601303,0.000000,0.000000,-inf,Still in CN Loop
2,1,47,-7166.601303,0.000000,0.000000,-inf,Still in CN Loop
2,1,48,-7166.601303,0.000000,0.000000,-inf,Still in CN Loop
2,1,49,-7166.601303,0.000000,0.000000,-inf,Still in CN Loop
2,1,50,-7166.601303,0.000000,0.000000,-inf,Still in CN Loop
2,1,50,-7166.601303,0.000000,-inf,Better LL and NO Conflict
2,2,1,-7239.235018,-7239.235018,6.388936,-7166.601303,Still in CN Loop
2,2,11,-7183.584316,55.650702,0.000000,-7166.601303,Still in CN Loop
2,2,21,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,2,31,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,2,41,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,2,47,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,2,48,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,2,49,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,2,50,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,1,-7166.601303,-7166.601303,6.855649,-7166.601303,Still in CN Loop
2,3,11,-7166.601303,-0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,21,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,31,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,41,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,47,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,48,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,49,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,50,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,3,50,-7166.601303,0.000000,-7166.601303,Better LL and NO Conflict
2,4,1,-7189.395364,-7189.395364,6.694933,-7166.601303,Still in CN Loop
2,4,11,-7183.584316,5.811048,0.000000,-7166.601303,Still in CN Loop
2,4,21,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,4,31,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,4,41,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,4,47,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,4,48,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,4,49,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,4,50,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,5,1,-7183.584316,-7183.584316,6.855650,-7166.601303,Still in CN Loop
2,5,11,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,5,21,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,5,31,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,5,41,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,5,47,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,5,48,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,5,49,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,5,50,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,6,1,-7224.627014,-7224.627014,6.215426,-7166.601303,Still in CN Loop
2,6,11,-7166.601303,58.025712,0.000000,-7166.601303,Still in CN Loop
2,6,21,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,6,31,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,6,41,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,6,47,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,6,48,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,6,49,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,6,50,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,7,1,-7183.749606,-7183.749606,6.825181,-7166.601303,Still in CN Loop
2,7,11,-7183.584316,0.165289,0.000000,-7166.601303,Still in CN Loop
2,7,21,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,7,31,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,7,41,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,7,47,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,7,48,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,7,49,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,7,50,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,8,1,-7192.709330,-7192.709330,6.736798,-7166.601303,Still in CN Loop
2,8,11,-7183.584316,9.125014,0.000000,-7166.601303,Still in CN Loop
2,8,21,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,8,31,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,8,41,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,8,47,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,8,48,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,8,49,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,8,50,-7183.584316,0.000000,0.000000,-7166.601303,Still in CN Loop
2,9,1,-7173.704847,-7173.704847,6.827106,-7166.601303,Still in CN Loop
2,9,11,-7166.601303,7.103544,0.000000,-7166.601303,Still in CN Loop
2,9,21,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,9,31,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
2,9,41,-7166.601303,0.000000,0.000000,-7166.601303,Still in CN Loop
