NO_Class,NO_Trial,NO_ITER,LL,DIFF_LL,DIFF_CPT,YET_CUR_BEST_LL,Comments
6,1,1,-8468.792100,-8468.792100,6.349497,-inf,Still in CN Loop
6,1,11,-8360.395160,108.396940,0.000650,-inf,Still in CN Loop
6,1,21,-8360.395160,0.000000,0.000000,-inf,Still in CN Loop
6,1,31,-8360.395160,-0.000000,0.000000,-inf,Still in CN Loop
6,1,41,-8360.395160,0.000000,0.000000,-inf,Still in CN Loop
6,1,47,-8360.395160,0.000000,0.000000,-inf,Still in CN Loop
6,1,48,-8360.395160,0.000000,0.000000,-inf,Still in CN Loop
6,1,49,-8360.395160,0.000000,0.000000,-inf,Still in CN Loop
6,1,50,-8360.395160,0.000000,0.000000,-inf,Still in CN Loop
6,1,50,-8360.395160,0.000000,-inf,Better LL and NO Conflict
6,2,1,-8459.893524,-8459.893524,6.319263,-8360.395160,Still in CN Loop
6,2,11,-8370.085407,89.808117,0.007886,-8360.395160,Still in CN Loop
6,2,21,-8370.085288,0.000119,0.000116,-8360.395160,Still in CN Loop
6,2,31,-8370.085288,0.000000,0.000002,-8360.395160,Still in CN Loop
6,2,41,-8370.085288,0.000000,0.000000,-8360.395160,Still in CN Loop
6,2,47,-8370.085288,0.000000,0.000000,-8360.395160,Still in CN Loop
6,2,48,-8370.085288,0.000000,0.000000,-8360.395160,Still in CN Loop
6,2,49,-8370.085288,-0.000000,0.000000,-8360.395160,Still in CN Loop
6,2,50,-8370.085288,0.000000,0.000000,-8360.395160,Still in CN Loop
6,3,1,-8421.199362,-8421.199362,6.485878,-8360.395160,Still in CN Loop
6,3,11,-8369.370018,51.829344,0.000000,-8360.395160,Still in CN Loop
6,3,21,-8369.370018,-0.000000,0.000000,-8360.395160,Still in CN Loop
6,3,31,-8369.370018,0.000000,0.000000,-8360.395160,Still in CN Loop
6,3,41,-8369.370018,0.000000,0.000000,-8360.395160,Still in CN Loop
6,3,47,-8369.370018,0.000000,0.000000,-8360.395160,Still in CN Loop
6,3,48,-8369.370018,0.000000,0.000000,-8360.395160,Still in CN Loop
6,3,49,-8369.370018,0.000000,0.000000,-8360.395160,Still in CN Loop
6,3,50,-8369.370018,0.000000,0.000000,-8360.395160,Still in CN Loop
6,4,1,-8377.350978,-8377.350978,6.714626,-8360.395160,Still in CN Loop
6,4,11,-8353.559255,23.791723,0.000000,-8360.395160,Still in CN Loop
6,4,21,-8353.559255,0.000000,0.000000,-8360.395160,Still in CN Loop
6,4,31,-8353.559255,0.000000,0.000000,-8360.395160,Still in CN Loop
6,4,41,-8353.559255,0.000000,0.000000,-8360.395160,Still in CN Loop
6,4,47,-8353.559255,0.000000,0.000000,-8360.395160,Still in CN Loop
6,4,48,-8353.559255,0.000000,0.000000,-8360.395160,Still in CN Loop
6,4,49,-8353.559255,0.000000,0.000000,-8360.395160,Still in CN Loop
6,4,50,-8353.559255,0.000000,0.000000,-8360.395160,Still in CN Loop
6,4,50,-8353.559255,0.000000,-8360.395160,Better LL and NO Conflict
6,5,1,-8390.172695,-8390.172695,6.395044,-8353.559255,Still in CN Loop
6,5,11,-8360.395176,29.777519,0.004743,-8353.559255,Still in CN Loop
6,5,21,-8360.395160,0.000016,0.000001,-8353.559255,Still in CN Loop
6,5,31,-8360.395160,0.000000,0.000000,-8353.559255,Still in CN Loop
6,5,41,-8360.395160,0.000000,0.000000,-8353.559255,Still in CN Loop
6,5,47,-8360.395160,0.000000,0.000000,-8353.559255,Still in CN Loop
6,5,48,-8360.395160,0.000000,0.000000,-8353.559255,Still in CN Loop
6,5,49,-8360.395160,0.000000,0.000000,-8353.559255,Still in CN Loop
6,5,50,-8360.395160,0.000000,0.000000,-8353.559255,Still in CN Loop
6,6,1,-8405.036708,-8405.036708,6.582237,-8353.559255,Still in CN Loop
6,6,11,-8386.894432,18.142275,0.004887,-8353.559255,Still in CN Loop
6,6,21,-8386.894407,0.000025,0.000007,-8353.559255,Still in CN Loop
